"lane_id","zone_id","lane_number","name","state","road","direction","location_description","lane_type","organization","detector_type","latitude","longitude","bearing","default_speed","interval"
67,1132,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 52.89","Normal","VDOT_NOVA","Single Loop",38.8433925,-77.4401752,,65,60
68,1132,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 52.89","Normal","VDOT_NOVA","Single Loop",38.8433689,-77.4401519,,65,60
69,1330,1,"Lane 1 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 52.89","Normal","VDOT_NOVA","Single Loop",38.8436391,-77.4403385,,65,60
70,1133,2,"Lane 2 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 52.89","Normal","VDOT_NOVA","Single Loop",38.8436657,-77.4403638,,65,60
71,1133,3,"Lane 3 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 52.89","Normal","VDOT_NOVA","Single Loop",38.8436926,-77.4403886,,65,60
72,1133,4,"Lane 4 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 52.89","Normal","VDOT_NOVA","Single Loop",38.8437216,-77.4404133,,65,60
73,1133,5,"Lane 5 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 52.89","Normal","VDOT_NOVA","Single Loop",38.8437465,-77.4404354,,65,60
74,1331,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 53.24","Normal","VDOT_NOVA","Single Loop",38.8470108,-77.4290957,,55,60
75,1134,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 53.24","Normal","VDOT_NOVA","Single Loop",38.8469754,-77.4290868,,55,60
76,1134,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 53.24","Normal","VDOT_NOVA","Single Loop",38.8469471,-77.4290794,,55,60
77,1134,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 53.24","Normal","VDOT_NOVA","Single Loop",38.8469139,-77.4290698,,55,60
78,901,1,"Lane 1 EB OffRamp","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 53.24","Off Ramp","VDOT_NOVA","Single Loop",38.8464637,-77.4306734,,55,60
79,902,1,"Lane 1 EB OnRamp","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 53.24","On Ramp","VDOT_NOVA","Single Loop",38.8467509,-77.4288836,,55,60
80,902,2,"Lane 2 EB OnRamp","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 53.24","On Ramp","VDOT_NOVA","Single Loop",38.8467274,-77.4288581,,55,60
81,1332,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 53.64","Normal","VDOT_NOVA","Single Loop",38.8483927,-77.4214829,,55,60
82,1135,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 53.64","Normal","VDOT_NOVA","Single Loop",38.8483602,-77.4214715,,55,60
83,1135,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 53.64","Normal","VDOT_NOVA","Single Loop",38.8483283,-77.4214597,,55,60
84,1135,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 53.64","Normal","VDOT_NOVA","Single Loop",38.8482956,-77.4214489,,55,60
85,1135,5,"Lane 5 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 53.64","Normal","VDOT_NOVA","Single Loop",38.8482660,-77.4214380,,55,60
86,1333,1,"Lane 1 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sully Rd @ MM 53.64","Normal","VDOT_NOVA","Single Loop",38.8483272,-77.4230346,,55,60
87,1136,2,"Lane 2 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sully Rd @ MM 53.64","Normal","VDOT_NOVA","Single Loop",38.8483575,-77.4230413,,55,60
88,1136,3,"Lane 3 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sully Rd @ MM 53.64","Normal","VDOT_NOVA","Single Loop",38.8483881,-77.4230496,,55,60
89,1136,4,"Lane 4 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sully Rd @ MM 53.64","Normal","VDOT_NOVA","Single Loop",38.8484225,-77.4230564,,55,60
90,1334,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 54.36","Normal","VDOT_NOVA","Single Loop",38.8496693,-77.4144265,,55,60
91,1137,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 54.36","Normal","VDOT_NOVA","Single Loop",38.8496385,-77.4144186,,55,60
92,1137,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 54.36","Normal","VDOT_NOVA","Single Loop",38.8496079,-77.4144116,,55,60
93,1137,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sully Rd @ MM 54.36","Normal","VDOT_NOVA","Single Loop",38.8495777,-77.4144013,,55,60
94,1335,1,"Lane 1 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sully Rd @ MM 54.36","Normal","VDOT_NOVA","Single Loop",38.8498781,-77.4144633,,55,60
95,1138,2,"Lane 2 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sully Rd @ MM 54.36","Normal","VDOT_NOVA","Single Loop",38.8499093,-77.4144725,,55,60
96,1138,3,"Lane 3 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sully Rd @ MM 54.36","Normal","VDOT_NOVA","Single Loop",38.8499421,-77.4144833,,55,60
97,1138,4,"Lane 4 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sully Rd @ MM 54.36","Normal","VDOT_NOVA","Single Loop",38.8499738,-77.4144922,,55,60
98,1336,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 54.83","Normal","VDOT_NOVA","Single Loop",38.8512339,-77.4058196,,55,60
99,1139,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 54.83","Normal","VDOT_NOVA","Single Loop",38.8512028,-77.4058093,,55,60
100,1139,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 54.83","Normal","VDOT_NOVA","Single Loop",38.8511702,-77.4057997,,55,60
101,1139,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 54.83","Normal","VDOT_NOVA","Single Loop",38.8511395,-77.4057904,,55,60
102,1337,1,"Lane 1 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Fairfax Co. Pkwy @ MM 54.83","Normal","VDOT_NOVA","Single Loop",38.8514568,-77.4058025,,55,60
103,1140,2,"Lane 2 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Fairfax Co. Pkwy @ MM 54.83","Normal","VDOT_NOVA","Single Loop",38.8514926,-77.4058137,,55,60
104,1140,3,"Lane 3 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Fairfax Co. Pkwy @ MM 54.83","Normal","VDOT_NOVA","Single Loop",38.8515217,-77.4058216,,55,60
105,1140,4,"Lane 4 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Fairfax Co. Pkwy @ MM 54.83","Normal","VDOT_NOVA","Single Loop",38.8515542,-77.4058309,,55,60
106,1338,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 55.4","Normal","VDOT_NOVA","Single Loop",38.8540374,-77.3903960,,55,60
107,1141,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 55.4","Normal","VDOT_NOVA","Single Loop",38.8540044,-77.3903844,,55,60
108,1141,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 55.4","Normal","VDOT_NOVA","Single Loop",38.8539710,-77.3903727,,55,60
109,1141,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 55.4","Normal","VDOT_NOVA","Single Loop",38.8539428,-77.3903643,,55,60
110,903,1,"Lane 1 EB OffRamp","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 55.4","Off Ramp","VDOT_NOVA","Single Loop",38.8531676,-77.3920488,,55,60
113,906,1,"Lane 1 EB OffRamp","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 55.66","Off Ramp","VDOT_NOVA","Single Loop",38.8541351,-77.3866480,,55,60
115,908,1,"Lane 1 EB OnRamp","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 55.66","On Ramp","VDOT_NOVA","Single Loop",38.8543666,-77.3849625,,55,60
116,1339,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 56.21","Normal","VDOT_NOVA","Single Loop",38.8556204,-77.3816930,,55,60
117,1142,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 56.21","Normal","VDOT_NOVA","Single Loop",38.8555878,-77.3816817,,55,60
118,1142,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 56.21","Normal","VDOT_NOVA","Single Loop",38.8555511,-77.3816679,,55,60
119,1142,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 56.21","Normal","VDOT_NOVA","Single Loop",38.8555227,-77.3816581,,55,60
120,1340,1,"Lane 1 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Fairfax Co. Pkwy @ MM 56.21","Normal","VDOT_NOVA","Single Loop",38.8558306,-77.3817087,,55,60
121,1143,2,"Lane 2 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Fairfax Co. Pkwy @ MM 56.21","Normal","VDOT_NOVA","Single Loop",38.8558630,-77.3817170,,55,60
122,1143,3,"Lane 3 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Fairfax Co. Pkwy @ MM 56.21","Normal","VDOT_NOVA","Single Loop",38.8558936,-77.3817247,,55,60
123,1143,4,"Lane 4 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Fairfax Co. Pkwy @ MM 56.21","Normal","VDOT_NOVA","Single Loop",38.8559263,-77.3817340,,55,60
124,1341,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 56.7","Normal","VDOT_NOVA","Single Loop",38.8573685,-77.3721008,,55,60
125,1144,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 56.7","Normal","VDOT_NOVA","Single Loop",38.8573351,-77.3720916,,55,60
126,1144,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 56.7","Normal","VDOT_NOVA","Single Loop",38.8573021,-77.3720809,,55,60
127,1144,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Fairfax Co. Pkwy @ MM 56.7","Normal","VDOT_NOVA","Single Loop",38.8572715,-77.3720698,,55,60
128,1470,1,"Lane 1 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Fairfax Co. Pkwy @ MM 56.7","Normal","VDOT_NOVA","Single Loop",38.8575821,-77.3720855,,55,60
129,1470,2,"Lane 2 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Fairfax Co. Pkwy @ MM 56.7","Normal","VDOT_NOVA","Single Loop",38.8576200,-77.3720943,,55,60
130,1470,3,"Lane 3 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Fairfax Co. Pkwy @ MM 56.7","Normal","VDOT_NOVA","Single Loop",38.8576507,-77.3721040,,55,60
131,1470,4,"Lane 4 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Fairfax Co. Pkwy @ MM 56.7","Normal","VDOT_NOVA","Single Loop",38.8576798,-77.3721131,,55,60
132,1470,5,"Lane 5 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Fairfax Co. Pkwy @ MM 56.7","Normal","VDOT_NOVA","Single Loop",38.8577104,-77.3721235,,55,60
133,57896,1,"Lane 1 EB OnRamp","Northern Virginia","I-66","East","IDS-66-E-57.5","On Ramp","VDOT_NOVA","170E",38.8599000,-77.3579000,,55,60
134,57905,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","IDS-66-E-57.5","Normal","VDOT_NOVA","170E",38.8599000,-77.3579000,,55,60
135,57905,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","IDS-66-E-57.5","Normal","VDOT_NOVA","170E",38.8599000,-77.3579000,,55,60
136,57905,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","IDS-66-E-57.5","Normal","VDOT_NOVA","170E",38.8599000,-77.3579000,,55,60
137,57890,4,"Lane 4 EB HOV","Northern Virginia","I-66","East","IDS-66-E-57.5","HOV","VDOT_NOVA","170E",38.8599000,-77.3579000,,55,60
138,57910,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","IDS-66-E-57.7","Normal","VDOT_NOVA","170E",38.8609200,-77.3515500,,55,60
139,57910,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","IDS-66-E-57.7","Normal","VDOT_NOVA","170E",38.8609200,-77.3515500,,55,60
140,57910,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","IDS-66-E-57.7","Normal","VDOT_NOVA","170E",38.8609200,-77.3515500,,55,60
141,57910,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","IDS-66-E-57.7","Normal","VDOT_NOVA","170E",38.8609200,-77.3515500,,55,60
143,57899,1,"Lane 1 EB OffRamp","Northern Virginia","I-66","East","IDS-66-E-57.7","Off Ramp","VDOT_NOVA","170E",38.8609200,-77.3515500,,55,60
144,57924,1,"Lane 1 EB Shoulder","Northern Virginia","I-66","East","IDS-66 –E-58.5","Shoulder","VDOT_NOVA","Radar",38.8632400,-77.3382000,,55,60
145,57931,5,"Lane 5 EB HOV","Northern Virginia","I-66","East","IDS-66 –E-58.5","HOV","VDOT_NOVA","Radar",38.8632400,-77.3382000,,55,60
146,57917,1,"Lane 1 WB HOV","Northern Virginia","I-66","West","IDS-66 –E-58.5","HOV","VDOT_NOVA","Radar",38.8632400,-77.3382000,,55,60
147,57927,2,"Lane 2 WB Normal","Northern Virginia","I-66","West","IDS-66 –E-58.5","Normal","VDOT_NOVA","Radar",38.8632400,-77.3382000,,55,60
148,910,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","IDS-66 –E-58.5","Normal","VDOT_NOVA","Radar",38.8632400,-77.3382000,,55,60
149,57927,4,"Lane 4 WB Normal","Northern Virginia","I-66","West","IDS-66 –E-58.5","Normal","VDOT_NOVA","Radar",38.8632400,-77.3382000,,55,60
150,911,5,"Lane 5 WB Shoulder","Northern Virginia","I-66","West","IDS-66 –E-58.5","Shoulder","VDOT_NOVA","Radar",38.8632400,-77.3382000,,55,60
151,910,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","IDS-66 –E-58.5","Normal","VDOT_NOVA","Radar",38.8632400,-77.3382000,,55,60
152,57920,1,"Lane 1 EB Shoulder","Northern Virginia","I-66","East","IDS-66-E-58.7","Shoulder","VDOT_NOVA","RTMS",38.8649200,-77.3297100,,55,60
153,57921,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","IDS-66-E-58.7","Normal","VDOT_NOVA","RTMS",38.8649200,-77.3297100,,55,60
154,57921,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","IDS-66-E-58.7","Normal","VDOT_NOVA","RTMS",38.8649200,-77.3297100,,55,60
155,57932,4,"Lane 4 EB HOV","Northern Virginia","I-66","East","IDS-66-E-58.7","HOV","VDOT_NOVA","RTMS",38.8649200,-77.3297100,,55,60
156,57918,1,"Lane 1 WB HOV","Northern Virginia","I-66","West","IDS-66-E-58.7","HOV","VDOT_NOVA","RTMS",38.8649200,-77.3297100,,55,60
157,57928,2,"Lane 2 WB Normal","Northern Virginia","I-66","West","IDS-66-E-58.7","Normal","VDOT_NOVA","RTMS",38.8649200,-77.3297100,,55,60
158,57928,3,"Lane 3 WB Normal","Northern Virginia","I-66","West","IDS-66-E-58.7","Normal","VDOT_NOVA","RTMS",38.8649200,-77.3297100,,55,60
159,57925,4,"Lane 4 WB Shoulder","Northern Virginia","I-66","West","IDS-66-E-58.7","Shoulder","VDOT_NOVA","RTMS",38.8649200,-77.3297100,,55,60
160,1365,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Chain Bridge Rd @ MM 59.43","Normal","VDOT_NOVA","Single Loop",38.8662760,-77.3226960,,55,60
161,1168,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Chain Bridge Rd @ MM 59.43","Normal","VDOT_NOVA","Single Loop",38.8662462,-77.3226858,,55,60
162,1168,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Chain Bridge Rd @ MM 59.43","Normal","VDOT_NOVA","Single Loop",38.8662140,-77.3226745,,55,60
163,1392,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Chain Bridge Rd @ MM 59.43","Normal","VDOT_NOVA","Single Loop",38.8661806,-77.3226662,,55,60
168,57867,5,"Lane 5 EB HOV","Northern Virginia","I-66","East","IDS-66-E-59.8","HOV","VDOT_NOVA","RTMS",38.8688700,-77.3083500,,55,60
169,912,2,"Lane 2 EB Shoulder","Northern Virginia","I-66","East","IDS-66-E-59.8","Shoulder","VDOT_NOVA","RTMS",38.8688700,-77.3083500,,55,60
170,57864,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","IDS-66-E-59.8","Normal","VDOT_NOVA","RTMS",38.8688700,-77.3083500,,55,60
171,57864,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","IDS-66-E-59.8","Normal","VDOT_NOVA","RTMS",38.8688700,-77.3083500,,55,60
173,57866,1,"Lane 1 EB OffRamp","Northern Virginia","I-66","East","IDS-66-E-59.8","Off Ramp","VDOT_NOVA","RTMS",38.8688700,-77.3083500,,55,60
174,914,1,"Lane 1 EB Shoulder","Northern Virginia","I-66","East","IDS-66 –E-60.2","Shoulder","VDOT_NOVA","RTMS",38.8687600,-77.3076800,,55,60
